t,v
0.01,9.9
0.02,9.8005
0.03,9.7019975
0.04,9.6044850125
0.05,9.5079525999375
0.060000000000000005,9.412390411875313
0.07,9.31778869681625
0.08,9.224137801272791
0.09,9.131428168782346
0.09999999999999999,9.03965033893207
0.10999999999999999,8.948794946393498
0.11999999999999998,8.85885271996687
0.12999999999999998,8.769814481635068
0.13999999999999999,8.681671145627059
0.15,8.594413717490747
0.16,8.508033293175158
0.17,8.422521058121829
0.18000000000000002,8.337868286365344
0.19000000000000003,8.254066339642907
0.20000000000000004,8.171106666512866
0.21000000000000005,8.088980801482087
0.22000000000000006,8.007680364142113
0.23000000000000007,7.9271970583139915
0.24000000000000007,7.847522671201711
0.25000000000000006,7.768649072554132
0.26000000000000006,7.690568213835353
0.2700000000000001,7.613272127403405
0.2800000000000001,7.536752925697211
0.2900000000000001,7.461002800431708
0.3000000000000001,7.3860140218010635
0.3100000000000001,7.311778937689899
0.3200000000000001,7.238289972892445
0.3300000000000001,7.165539628339533
0.34000000000000014,7.093520480333373
0.35000000000000014,7.022225179790008
0.36000000000000015,6.951646451489392
0.37000000000000016,6.881777093332995
0.38000000000000017,6.812609975608884
0.3900000000000002,6.744138040264175
0.4000000000000002,6.676354300184809
0.4100000000000002,6.609251838482565
0.4200000000000002,6.542823807789228
0.4300000000000002,6.477063429557869
0.4400000000000002,6.411963993371133
0.45000000000000023,6.347518856256488
0.46000000000000024,6.28372144200835
0.47000000000000025,6.2205652405170255
0.48000000000000026,6.158043807104399
0.49000000000000027,6.096150761866292
0.5000000000000002,6.0348797890214385
0.5100000000000002,5.9742246362669995
0.5200000000000002,5.914179114140557
0.5300000000000002,5.854737095388519
0.5400000000000003,5.795892514340874
0.5500000000000003,5.737639366292227
0.5600000000000003,5.679971706889062
0.5700000000000003,5.622883651523155
0.5800000000000003,5.566369374731094
0.5900000000000003,5.510423109599823
0.6000000000000003,5.4550391471781685
0.6100000000000003,5.400211835894279
0.6200000000000003,5.345935580978916
0.6300000000000003,5.292204843894551
0.6400000000000003,5.239014141770183
0.6500000000000004,5.1863580468418595
0.6600000000000004,5.134231185898799
0.6700000000000004,5.082628239735096
0.6800000000000004,5.031543942606927
0.6900000000000004,4.9809730816952165
0.7000000000000004,4.930910496573706
0.7100000000000004,4.881351078682361
0.7200000000000004,4.832289770806081
0.7300000000000004,4.783721566558638
0.7400000000000004,4.735641509871814
0.7500000000000004,4.688044694489662
0.7600000000000005,4.640926263467854
0.7700000000000005,4.594281408678066
0.7800000000000005,4.548105370317336
0.7900000000000005,4.502393436422359
0.8000000000000005,4.45714094238866
0.8100000000000005,4.412343270494605
0.8200000000000005,4.367995849430189
0.8300000000000005,4.324094153830565
0.8400000000000005,4.280633703814261
0.8500000000000005,4.237610064526037
0.8600000000000005,4.195018845684335
0.8700000000000006,4.152855701133284
0.8800000000000006,4.111116328399196
0.8900000000000006,4.069796468251534
0.9000000000000006,4.0288919042682805
0.9100000000000006,3.9883984624056814
0.9200000000000006,3.9483120105723115
0.9300000000000006,3.9086284582074216
0.9400000000000006,3.869343755863523
0.9500000000000006,3.8304538947931683
0.9600000000000006,3.791954906539885
0.9700000000000006,3.7538428625332196
0.9800000000000006,3.716113873687854
0.9900000000000007,3.678764090006749
1.0000000000000007,3.641789700188276
1.0100000000000007,3.605186931237301
1.0200000000000007,3.568952048080173
1.0300000000000007,3.5330813531835856
1.0400000000000007,3.4975711861772667
1.0500000000000007,3.4624179234804626
1.0600000000000007,3.427617977932174
1.0700000000000007,3.393167798425111
1.0800000000000007,3.3590638695433244
1.0900000000000007,3.325302711203482
1.1000000000000008,3.291880878299748
1.1100000000000008,3.258794960352232
1.1200000000000008,3.226041581158972
1.1300000000000008,3.193617398451416
1.1400000000000008,3.1615191035533643
1.1500000000000008,3.1297434210433406
1.1600000000000008,3.098287108420357
1.1700000000000008,3.0671469557730386
1.1800000000000008,3.0363197854520716
1.1900000000000008,3.005802451745946
1.2000000000000008,2.975591840559956
1.2100000000000009,2.9456848690984265
1.2200000000000009,2.9160784855501345
1.2300000000000009,2.886769668776892
1.2400000000000009,2.8577554280052566
1.2500000000000009,2.829032802521346
1.260000000000001,2.800598861368713
1.270000000000001,2.772450703049263
1.280000000000001,2.744585455227173
1.290000000000001,2.717000274435791
1.300000000000001,2.6896923457874764
1.310000000000001,2.66265888268636
1.320000000000001,2.6358971265439908
1.330000000000001,2.609404346497839
1.340000000000001,2.5831778391326297
1.350000000000001,2.5572149282044774
1.360000000000001,2.531512964367792
1.370000000000001,2.5060693249049306
1.380000000000001,2.480881413458567
1.390000000000001,2.4559466597667496
1.400000000000001,2.431262519400623
1.410000000000001,2.406826473504786
1.420000000000001,2.3826360285402592
1.430000000000001,2.358688716030034
1.440000000000001,2.3349820923071825
1.450000000000001,2.3115137382654964
1.460000000000001,2.288281259112633
1.470000000000001,2.2652822841257425
1.480000000000001,2.2425144664095504
1.490000000000001,2.219975482656874
1.500000000000001,2.197663032911542
1.5100000000000011,2.1755748403336996
1.5200000000000011,2.153708650967473
1.5300000000000011,2.1320622335109674
1.5400000000000011,2.110633379088575
1.5500000000000012,2.0894199010255776
1.5600000000000012,2.0684196346250068
1.5700000000000012,2.0476304369467537
1.5800000000000012,2.027050186588895
1.5900000000000012,2.006676783471217
1.6000000000000012,1.9865081486209164
1.6100000000000012,1.9665422239604557
1.6200000000000012,1.946776972097549
1.6300000000000012,1.927210376117259
1.6400000000000012,1.907840439376185
1.6500000000000012,1.8886651852987177
1.6600000000000013,1.8696826571753433
1.6700000000000013,1.8508909179629731
