t,v
0,10
0.1,9.0
0.2,8.05
0.30000000000000004,7.197500000000001
0.4,6.435125
0.5,5.7534937500000005
0.6,5.1440628125000005
0.7,4.599184984375
0.7999999999999999,4.1120225945312505
0.8999999999999999,3.676462215585938
0.9999999999999999,3.2870379750800787
1.0999999999999999,2.938862965546778
1.2,2.6275679185154353
1.3,2.3492463743123246
1.4000000000000001,2.100405659670937
1.5000000000000002,1.8779230579717738
1.6000000000000003,1.6790066220896382
1.7000000000000004,1.5011601380865676
1.8000000000000005,1.3421518000777573
1.9000000000000006,1.199986203169541
2.0000000000000004,1.0728793030071762
2.1000000000000005,0.9592360276983403
2.2000000000000006,0.8576302611630644
2.3000000000000007,0.7667869467199941
2.400000000000001,0.6855660863258413
2.500000000000001,0.6129484346735495
2.600000000000001,0.54802270862358
2.700000000000001,0.4899741514587236
2.800000000000001,0.4380743084546084
2.9000000000000012,0.39167188545894177
